kb_id,title,body,product_area,csat_avg,created_at
KB-1001,Authentication service returns 401 on valid JWT tokens,"When the authentication service returns HTTP 401 Unauthorized even though the JWT token appears valid, the most common cause is token expiry mismatch. The service uses a 15-minute window by default. Steps: 1) Check token exp claim. 2) Verify server clock sync via NTP. 3) If exp is in the future, check the JWKS endpoint is returning the correct public key. 4) Rotate the signing key and re-issue tokens if the key was compromised.",auth,4.6,2026-01-05
KB-1002,Password reset email not delivered,"Users report not receiving password reset emails. Diagnosis steps: 1) Check spam/junk folder. 2) Verify MX records for the user domain. 3) Check SMTP relay queue — run 'mailq' on the relay host. 4) Confirm the user email address is not in the bounce list. 5) If bounced, remove from suppression list via admin panel → Users → Email Suppression.",auth,4.4,2026-01-08
KB-1003,SSO SAML assertion fails with invalid audience,"SAML assertion audience mismatch causes login failure. The SP entity ID in the IdP configuration must exactly match the audience value in the SAML response. Fix: 1) Compare SP entity ID in IdP settings with the value in the SAML response XML. 2) Update the IdP to use the correct audience URI. 3) Re-test with SAML tracer browser extension.",auth,4.7,2026-01-10
KB-1004,OAuth2 refresh token rejected after password change,"After a user changes their password, existing refresh tokens are invalidated by design. This is a security measure to prevent credential-stuffing attacks. Users must re-authenticate to obtain a new token pair. For enterprise integrations that require persistent access, use service account OAuth2 credentials instead.",auth,4.5,2026-01-12
KB-1005,Session token invalidated after load balancer change,"Sticky sessions must be enabled when adding a new load balancer node. Without sticky sessions, subsequent requests may land on a node that does not have the session in cache. Enable session persistence in the load balancer config (HAProxy: balance leastconn + cookie SERVERID insert) and redeploy.",auth,4.3,2026-01-15
KB-1006,Multi-factor authentication app shows incorrect OTP,"Time-based OTP codes rely on clock synchronisation. If the authenticator app shows codes that are rejected: 1) Sync device time — Settings → General → Date & Time → Set Automatically. 2) Allow a ±30s window in the TOTP validation config. 3) If still failing, generate a new TOTP secret and re-enroll the device.",auth,4.6,2026-01-18
KB-1007,Login fails after account locked due to repeated attempts,"Account lockout triggers after 5 consecutive failed logins (default). To unlock: admin panel → Users → search user → Unlock Account. For self-service unlock, configure the account recovery email flow. Audit log at Settings → Security → Login Attempts shows the source IPs.",auth,4.4,2026-01-20
KB-1008,API key authentication rejected after key rotation,"After rotating an API key, all integrations using the old key will receive 401 Unauthorized. Update the key in every service that uses it before revoking the old key. Use the 30-day grace period window — old keys remain valid for 30 days after rotation unless explicitly revoked.",auth,4.5,2026-01-22
KB-1009,LDAP bind failure when syncing users,"LDAP synchronisation fails with bind error if the service account password has expired. Steps: 1) Reset the LDAP service account password. 2) Update the credential in Settings → Integrations → LDAP. 3) Test the connection. 4) If TLS errors occur, ensure the LDAP server cert is trusted by importing its CA into the system trust store.",auth,4.3,2026-01-25
KB-1010,Token introspection endpoint returns inactive for valid tokens,"The introspection endpoint may return {active: false} if the token was issued by a different instance and token sharing is disabled. Enable token sharing: Settings → Auth → Token Store → Shared. Alternatively, configure a centralised Redis token store so all instances share the same token namespace.",auth,4.6,2026-01-28
KB-1011,Recurring billing charge fails after subscription update,"When a subscription is updated mid-cycle, the next recurring charge can fail due to idempotency key collision. The billing engine reuses the idempotency key from the original subscription creation. Fix: update the idempotency key format to include the subscription version number (sub_id + version + billing_period).",billing,4.5,2026-02-01
KB-1012,Invoice not generated after payment processed,"Invoices are generated asynchronously via a background job. If the job queue is backlogged, invoice generation can be delayed up to 60 minutes. Check queue depth: Admin → Billing → Job Queue. If the invoice is missing after 2 hours, trigger manual regeneration via POST /billing/invoices/regenerate with the payment_id.",billing,4.4,2026-02-03
KB-1013,Refund not reflected in customer account balance,"Refunds take 5-10 business days to appear depending on the payment method. For credit card refunds, the bank processing time varies. Show customers the refund confirmation number from the payment processor. If the refund is overdue (>10 days), escalate to the payment processor with the transaction ID.",billing,4.6,2026-02-05
KB-1014,Proration calculation incorrect after plan downgrade,"Proration is calculated based on the remaining days in the billing cycle at the time of downgrade. If the customer sees an unexpected charge, export the proration breakdown from Admin → Billing → Transactions → Export. The formula is: (daily_rate × remaining_days) for both old and new plan.",billing,4.3,2026-02-08
KB-1015,Payment declined despite sufficient funds in account,"Payments can be declined by the issuing bank even with sufficient funds due to fraud prevention rules. Common causes: 1) Transaction amount exceeds single-day limit. 2) International billing address mismatch. 3) Card type not accepted. Ask the customer to contact their bank or use an alternative payment method.",billing,4.5,2026-02-10
