ticket_id,ticket_text,ground_truth_kb_id,product_area,resolved_at,csat_score,agent_notes
T-0001,I keep getting 401 errors when I call your API but my token is definitely not expired,KB-1001,auth,2026-01-10,5,Customer confirmed JWT not expired. Clock skew issue.
T-0002,The password reset email never arrived in my inbox,KB-1002,auth,2026-01-11,4,Checked spam. Email was in bounce list.
T-0003,Single sign-on stopped working after we updated our identity provider,KB-1003,auth,2026-01-12,5,SAML audience mismatch in IdP config.
T-0004,After changing my password all my integrations stopped working,KB-1004,auth,2026-01-13,4,Refresh tokens invalidated by design.
T-0005,Customers are getting logged out randomly on our site,KB-1005,auth,2026-01-16,4,Load balancer sticky sessions not configured.
T-0006,My authenticator app codes are all being rejected,KB-1006,auth,2026-01-19,5,Device time not synced.
T-0007,Account locked after entering password wrong a few times how do I unlock it,KB-1007,auth,2026-01-21,4,Admin unlocked via panel.
T-0008,We rotated our API keys and now our pipeline is broken,KB-1008,auth,2026-01-23,5,Old key still in use. Grace period explained.
T-0009,LDAP user sync has been failing since yesterday,KB-1009,auth,2026-01-26,4,LDAP service account password expired.
T-0010,Token validation returns inactive for tokens we just issued,KB-1010,auth,2026-01-29,5,Multi-instance token store not shared.
T-0011,We got charged twice this month for the same subscription,KB-1016,billing,2026-01-30,5,Duplicate charge from retry after timeout. Refund issued.
T-0012,Our invoice is showing the wrong VAT amount for Germany,KB-1018,billing,2026-02-01,4,Tax table needed update for new EU VAT rates.
T-0013,The coupon code we were given is not applying any discount,KB-1019,billing,2026-02-04,4,Coupon exceeded max redemptions.
T-0014,We downgraded our plan but the proration seems wrong,KB-1014,billing,2026-02-06,4,Proration breakdown exported and explained.
T-0015,Card is being declined even though there is plenty of money in the account,KB-1015,billing,2026-02-09,5,Bank fraud prevention blocking. Customer called bank.
T-0016,We updated our subscription but the invoice was not generated,KB-1012,billing,2026-02-11,4,Invoice job queue backlogged. Triggered manually.
T-0017,Refund was processed but it's not showing on the customer's card,KB-1013,billing,2026-02-13,5,Bank processing delay. Customer informed.
T-0018,Subscription renewed and charged the wrong amount compared to quoted price,KB-1020,billing,2026-02-16,4,Manual price override found and corrected.
T-0019,Credit card expired and subscription didn't renew,KB-1017,billing,2026-02-17,5,Customer updated card. Charge retried successfully.
T-0020,Recurring payment keeps failing with a cryptic error,KB-1011,billing,2026-02-19,4,Idempotency key collision on subscription update.
T-0021,Application is crashing at startup on our production server,KB-1021,crash,2026-02-20,5,Corrupt native module rebuilt.
T-0022,The app is using more memory than it should and eventually crashes,KB-1022,crash,2026-02-21,4,Memory profiler found unbounded cache.
T-0023,Background jobs keep failing with an unhandled exception,KB-1023,crash,2026-02-22,5,Missing error boundary in task handler.
T-0024,System becomes completely unresponsive under heavy load,KB-1024,crash,2026-02-23,4,Connection pool exhausted. Pool size increased.
T-0025,Server had a kernel panic after the OS update we installed,KB-1025,crash,2026-02-24,5,Previous kernel used until driver fixed.
T-0026,Database connections are maxing out and causing failures,KB-1026,crash,2026-02-25,4,Pool size and slow query both addressed.
T-0027,Our service keeps getting killed by systemd,KB-1027,crash,2026-02-26,5,Watchdog keepalive not implemented. Added.
T-0028,Stack overflow error in our data processing script,KB-1028,crash,2026-02-27,4,Converted recursive function to iterative.
T-0029,App does not shut down cleanly and hangs forever,KB-1029,crash,2026-02-28,5,Blocking DB transaction not rolling back on shutdown.
T-0030,Getting intermittent core dumps but the service restarts okay,KB-1030,crash,2026-03-01,4,Race condition detected with ASan in staging.
T-0031,App crashes when I tap on a link from a notification,KB-1031,mobile,2026-03-02,5,Deep link hit expired session. Deferred routing added.
T-0032,Push notifications stopped arriving on iPhones after our update,KB-1032,mobile,2026-03-03,4,APNs cert expired. Renewed and uploaded.
T-0033,Android app crashes when hitting the back button from payment screen,KB-1033,mobile,2026-03-04,5,Payment fragment detach null pointer fixed.
T-0034,Battery draining very fast when our app runs in background,KB-1034,mobile,2026-03-05,4,Wake lock not released. WorkManager migration done.
T-0035,Fingerprint login broken on Samsung Galaxy devices,KB-1035,mobile,2026-03-06,5,AndroidX Biometric library added. Fallback PIN provided.
T-0036,App stuck on loading screen after updating to iOS 17,KB-1036,mobile,2026-03-07,4,Main thread blocked on DB migration. Moved to background.
T-0037,Data entered offline is not syncing after reconnecting to internet,KB-1037,mobile,2026-03-08,5,Sync queue not persisted across restarts. Fixed.
T-0038,Can't purchase the premium plan through the app,KB-1038,mobile,2026-03-09,4,Product ID mismatch with Play Console.
T-0039,App crashes on first launch on my new iPad,KB-1039,mobile,2026-03-10,5,Missing tablet layout for the onboarding screen.
